#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AE31,,IOBS,IO_L12N_VRP_17,UNUSED,,17,,,,,,,,,
AE32,,IOBS,IO_L11N_CC_13,UNUSED,,13,,,,,,,,,
AE33,,IOBS,IO_L8N_CC_SM1N_13,UNUSED,,13,,,,,,,,,
AE34,,IOBS,IO_L9N_CC_SM0N_13,UNUSED,,13,,,,,,,,,
AF1,,IPAD,MGTRXN0_118,UNUSED,,,,,,,,,,,
AF2,,,GND,,,,,,,,,,,,
AF3,,IPAD,MGTREFCLKN_118,UNUSED,,,,,,,,,,,
AF4,,IPAD,MGTREFCLKP_118,UNUSED,,,,,,,,,,,
AF5,dram_ck_n<0>,IOB,IO_L10N_CC_18,OUTPUT,DIFF_SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AF6,dram_a<2>,IOB,IO_L9N_CC_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AF7,,,VCCO_22,,,22,,,,,1.80,,,,
AF8,,IOBM,IO_L12P_VRN_22,UNUSED,,22,,,TERMINATION,,,,,,
AF9,dram_dq<40>,IOB,IO_L14P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AF10,,IOBS,IO_L14N_VREF_22,VREF Required,,22,,,,,0.90,,,,
AF11,dram_dq<35>,IOB,IO_L16P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AF12,,,GND,,,,,,,,,,,,
AF13,epb_addr<9>,IOB,IO_L2P_A23_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AF14,epb_be_n<0>,IOB,IO_L4N_VREF_FOE_B_MOSI_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AF15,epb_data<0>,IOB,IO_L6P_D7_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF16,epb_data<4>,IOB,IO_L8P_D3_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF17,,,GND,,,,,,,,,,,,
AF18,epb_be_n<1>,IOB,IO_L8P_CC_GC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AF19,epb_addr<6>,IOB,IO_L6N_GC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AF20,epb_r_w_n,IOB,IO_L5P_FWE_B_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AF21,epb_oe_n,IOB,IO_L5N_CSO_B_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AF22,,,GND,,,,,,,,,,,,
AF23,epb_addr<11>,IOB,IO_L1P_CC_A25_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AF24,,IOBM,IO_L13P_21,UNUSED,,21,,,,,,,,,
AF25,adcmkid1_DI_p<6>,IOB,IO_L15P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AF26,adcmkid1_DI_n<6>,IOB,IO_L15N_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AF27,,,GND,,,,,,,,,,,,
AF28,adcmkid1_DI_n<3>,IOB,IO_L7N_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AF29,adcmkid1_DI_p<9>,IOB,IO_L17P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,YES,DIFF_TERM,
AF30,adcmkid1_DI_n<9>,IOB,IO_L17N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AF31,adcmkid1_DI_p<1>,IOB,IO_L14P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,YES,DIFF_TERM,
AF32,,,GND,,,,,,,,,,,,
AF33,,IOBM,IO_L8P_CC_SM1P_13,UNUSED,,13,,,,,,,,,
AF34,,IOBM,IO_L9P_CC_SM0P_13,UNUSED,,13,,,,,,,,,
AG1,,IPAD,MGTRXN1_118,UNUSED,,,,,,,,,,,
AG2,,,GND,,,,,,,,,,,,
AG3,,,MGTAVCC_118,,,,,,,,,,,,
AG4,,,MGTAVCC_118,,,,,,,,,,,,
AG5,dram_ck<0>,IOB,IO_L10P_CC_18,OUTPUT,DIFF_SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AG6,,IOBS,IO_L12N_VRP_18,UNUSED,,18,,,TERMINATION,,,,,,
AG7,,IOBS,IO_L14N_VREF_18,VREF Required,,18,,,,,0.90,,,,
